Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
LGRE,LGRE,LGRE,LGRE,LGRE,LGRE
AUEM,AUEM,AUEM,AUEM,AUEM,AUEM
AEEM,AEEM,AEEM,AEEM,AEEM,AEEM
ESD,ESD,ESD,ESD,ESD,ESD
EEP,EEP,EEP,EEP,EEP,EEP
LYXLEM,LYXLEM,LYXLEM,LYXLEM,LYXLEM,LYXLEM
BNKE,BNKE,BNKE,BNKE,BNKE,BNKE
MSE,MSE,MSE,MSE,MSE,MSE
ESEH,ESEH,ESEH,ESEH,ESEH,ESEH
ETZ,ETZ,ETZ,ETZ,ETZ,ETZ
LVE,LVE,LVE,LVE,LVE,LVE
SMRE,SMRE,SMRE,SMRE,SMRE,SMRE
LYEE,LYEE,LYEE,LYEE,LYEE,LYEE
EUDV,EUDV,EUDV,EUDV,EUDV,EUDV
LEMU,LEMU,LEMU,LEMU,LEMU,LEMU
LEMB,LEMB,LEMB,LEMB,LEMB,LEMB
ESDD,ESDD,ESDD,ESDD,ESDD,ESDD
EEA,EEA,EEA,EEA,EEA,EEA
QCEU,QCEU,QCEU,QCEU,QCEU,QCEU
EEESE,EEESE,EEESE,EEESE,EEESE,EEESE
PE500,PE500,PE500,PE500,PE500,PE500
USTE,USTE,USTE,USTE,USTE,USTE
50E,50E,50E,50E,50E,50E
SEL,SEL,SEL,SEL,SEL,SEL
EWLD,EWLD,EWLD,EWLD,EWLD,EWLD
EEE,EEE,EEE,EEE,EEE,EEE
BRES,BRES,BRES,BRES,BRES,BRES
LYXHEA,LYXHEA,LYXHEA,LYXHEA,LYXHEA,LYXHEA
PAEEM,PAEEM,PAEEM,PAEEM,PAEEM,PAEEM
LYXPER,LYXPER,LYXPER,LYXPER,LYXPER,LYXPER
PLEM,PLEM,PLEM,PLEM,PLEM,PLEM
ESM,ESM,ESM,ESM,ESM,ESM
ERO,ERO,ERO,ERO,ERO,ERO
MFE,MFE,MFE,MFE,MFE,MFE
TPXE,TPXE,TPXE,TPXE,TPXE,TPXE
E40,E40,E40,E40,E40,E40
YIEL,YIEL,YIEL,YIEL,YIEL,YIEL
EPRA,EPRA,EPRA,EPRA,EPRA,EPRA
C6E,C6E,C6E,C6E,C6E,C6E
DJE,DJE,DJE,DJE,DJE,DJE
TELW,TELW,TELW,TELW,TELW,TELW
EISR,EISR,EISR,EISR,EISR,EISR
PMEH,PMEH,PMEH,PMEH,PMEH,PMEH
AEJ,AEJ,AEJ,AEJ,AEJ,AEJ
PEAP,PEAP,PEAP,PEAP,PEAP,PEAP
JPHE,JPHE,JPHE,JPHE,JPHE,JPHE
EMRG,EMRG,EMRG,EMRG,EMRG,EMRG
MEUD,MEUD,MEUD,MEUD,MEUD,MEUD
EMLD,EMLD,EMLD,EMLD,EMLD,EMLD
AHYE,AHYE,AHYE,AHYE,AHYE,AHYE
ELOW,ELOW,ELOW,ELOW,ELOW,ELOW
PCEU,PCEU,PCEU,PCEU,PCEU,PCEU
PAEJ,PAEJ,PAEJ,PAEJ,PAEJ,PAEJ
ECN,ECN,ECN,ECN,ECN,ECN
AEXK,AEXK,AEXK,AEXK,AEXK,AEXK
ESGE,ESGE,ESGE,ESGE,ESGE,ESGE
ACWE,ACWE,ACWE,ACWE,ACWE,ACWE
CWE,CWE,CWE,CWE,CWE,CWE
CEU,CEU,CEU,CEU,CEU,CEU
TELE,TELE,TELE,TELE,TELE,TELE
AFLE,AFLE,AFLE,AFLE,AFLE,AFLE
CACEM,CACEM,CACEM,CACEM,CACEM,CACEM
PTPXE,PTPXE,PTPXE,PTPXE,PTPXE,PTPXE
C5E,C5E,C5E,C5E,C5E,C5E
EPRE,EPRE,EPRE,EPRE,EPRE,EPRE
PDJE,PDJE,PDJE,PDJE,PDJE,PDJE
EUMV,EUMV,EUMV,EUMV,EUMV,EUMV
MFED,MFED,MFED,MFED,MFED,MFED
ETDD,ETDD,ETDD,ETDD,ETDD,ETDD
EAEU,EAEU,EAEU,EAEU,EAEU,EAEU
CE9,CE9,CE9,CE9,CE9,CE9
MTE,MTE,MTE,MTE,MTE,MTE
LYELLE,LYELLE,LYELLE,LYELLE,LYELLE,LYELLE
MSED,MSED,MSED,MSED,MSED,MSED
ETZD,ETZD,ETZD,ETZD,ETZD,ETZD
EMSRI,EMSRI,EMSRI,EMSRI,EMSRI,EMSRI
SRIEC,SRIEC,SRIEC,SRIEC,SRIEC,SRIEC
PMEU,PMEU,PMEU,PMEU,PMEU,PMEU
REUSE,REUSE,REUSE,REUSE,REUSE,REUSE
MCEU,MCEU,MCEU,MCEU,MCEU,MCEU
EMUE,EMUE,EMUE,EMUE,EMUE,EMUE
ES10,ES10,ES10,ES10,ES10,ES10
CRWE,CRWE,CRWE,CRWE,CRWE,CRWE
S6EW,S6EW,S6EW,S6EW,S6EW,S6EW
SEUC,SEUC,SEUC,SEUC,SEUC,SEUC
JNKE,JNKE,JNKE,JNKE,JNKE,JNKE
FTSE,FTSE,FTSE,FTSE,FTSE,FTSE
ETCC,ETCC,ETCC,ETCC,ETCC,ETCC
EUHD,EUHD,EUHD,EUHD,EUHD,EUHD
ETUR,ETUR,ETUR,ETUR,ETUR,ETUR
SGQE,SGQE,SGQE,SGQE,SGQE,SGQE
LYXEUC,LYXEUC,LYXEUC,LYXEUC,LYXEUC,LYXEUC
WEATP,WEATP,WEATP,WEATP,WEATP,WEATP
IMIE,IMIE,IMIE,IMIE,IMIE,IMIE
EMSP,EMSP,EMSP,EMSP,EMSP,EMSP
MEM,MEM,MEM,MEM,MEM,MEM
PSPEF,PSPEF,PSPEF,PSPEF,PSPEF,PSPEF
PSPEH,PSPEH,PSPEH,PSPEH,PSPEH,PSPEH
EAGG,EAGG,EAGG,EAGG,EAGG,EAGG
EENG,EENG,EENG,EENG,EENG,EENG
EUCO,EUCO,EUCO,EUCO,EUCO,EUCO
EMMV,EMMV,EMMV,EMMV,EMMV,EMMV
ETBB,ETBB,ETBB,ETBB,ETBB,ETBB
AGEB,AGEB,AGEB,AGEB,AGEB,AGEB
CE9U,CE9U,CE9U,CE9U,CE9U,CE9U
CAPE,CAPE,CAPE,CAPE,CAPE,CAPE
BYBE,BYBE,BYBE,BYBE,BYBE,BYBE
EMAE,EMAE,EMAE,EMAE,EMAE,EMAE
TSYE,TSYE,TSYE,TSYE,TSYE,TSYE
CE8,CE8,CE8,CE8,CE8,CE8
EAEB,EAEB,EAEB,EAEB,EAEB,EAEB
ECB,ECB,ECB,ECB,ECB,ECB
MEH,MEH,MEH,MEH,MEH,MEH
AMEM,AMEM,AMEM,AMEM,AMEM,AMEM
AMEA,AMEA,AMEA,AMEA,AMEA,AMEA
AMEW,AMEW,AMEW,AMEW,AMEW,AMEW
CEUG,CEUG,CEUG,CEUG,CEUG,CEUG
CE8G,CE8G,CE8G,CE8G,CE8G,CE8G
AMAMED,AMAMED,AMAMED,AMAMED,AMAMED,AMAMED
ZESM,ZESM,ZESM,ZESM,ZESM,ZESM
AME6,AME6,AME6,AME6,AME6,AME6
AMEE,AMEE,AMEE,AMEE,AMEE,AMEE
DE5A,DE5A,DE5A,DE5A,DE5A,DE5A
AMEL,AMEL,AMEL,AMEL,AMEL,AMEL
EHF1,EHF1,EHF1,EHF1,EHF1,EHF1
AMREAL,AMREAL,AMREAL,AMREAL,AMREAL,AMREAL
AMES,AMES,AMES,AMES,AMES,AMES
AEMG,AEMG,AEMG,AEMG,AEMG,AEMG
SXAPEX,SXAPEX,SXAPEX,SXAPEX,SXAPEX,SXAPEX
MCXPEX,MCXPEX,MCXPEX,MCXPEX,MCXPEX,MCXPEX
BTEC,BTEC,BTEC,BTEC,BTEC,BTEC
EDMF,EDMF,EDMF,EDMF,EDMF,EDMF
IPRE,IPRE,IPRE,IPRE,IPRE,IPRE
EWG2,EWG2,EWG2,EWG2,EWG2,EWG2
3DEO,3DEO,3DEO,3DEO,3DEO,3DEO
EMQ1,EMQ1,EMQ1,EMQ1,EMQ1,EMQ1
5XYE,5XYE,5XYE,5XYE,5XYE,5XYE
T3KE,T3KE,T3KE,T3KE,T3KE,T3KE
DECE5WZT,DECE5WZT,DECE5WZT,DECE5WZT,DECE5WZT,DECE5WZT
ES5R,ES5R,ES5R,ES5R,ES5R,ES5R
X0CE,X0CE,X0CE,X0CE,X0CE,X0CE
X0DE,X0DE,X0DE,X0DE,X0DE,X0DE
X0BE,X0BE,X0BE,X0BE,X0BE,X0BE
X0E6,X0E6,X0E6,X0E6,X0E6,X0E6
X0E2,X0E2,X0E2,X0E2,X0E2,X0E2
X0E5,X0E5,X0E5,X0E5,X0E5,X0E5
X0E1,X0E1,X0E1,X0E1,X0E1,X0E1
CBSTOXX50E,CBSTOXX50E,CBSTOXX50E,CBSTOXX50E,CBSTOXX50E,CBSTOXX50E
E043,E043,E043,E043,E043,E043
E908,E908,E908,E908,E908,E908
CBSX5EL,CBSX5EL,CBSX5EL,CBSX5EL,CBSX5EL,CBSX5EL
CBSTOXX50ER,CBSTOXX50ER,CBSTOXX50ER,CBSTOXX50ER,CBSTOXX50ER,CBSTOXX50ER
E901,E901,E901,E901,E901,E901
CBMINEM,CBMINEM,CBMINEM,CBMINEM,CBMINEM,CBMINEM
CBMINEUS,CBMINEUS,CBMINEUS,CBMINEUS,CBMINEUS,CBMINEUS
CBMINEU,CBMINEU,CBMINEU,CBMINEU,CBMINEU,CBMINEU
E907,E907,E907,E907,E907,E907
E903,E903,E903,E903,E903,E903
CBMINEE,CBMINEE,CBMINEE,CBMINEE,CBMINEE,CBMINEE
E905,E905,E905,E905,E905,E905
CBHSCE,CBHSCE,CBHSCE,CBHSCE,CBHSCE,CBHSCE
CBIESIILNT,CBIESIILNT,CBIESIILNT,CBIESIILNT,CBIESIILNT,CBIESIILNT
E950,E950,E950,E950,E950,E950
CBMINEUM,CBMINEUM,CBMINEUM,CBMINEUM,CBMINEUM,CBMINEUM
E960,E960,E960,E960,E960,E960
CBTFTSE,CBTFTSE,CBTFTSE,CBTFTSE,CBTFTSE,CBTFTSE
CBSXER,CBSXER,CBSXER,CBSXER,CBSXER,CBSXER
CBEONIA,CBEONIA,CBEONIA,CBEONIA,CBEONIA,CBEONIA
CBFEDFER,CBFEDFER,CBFEDFER,CBFEDFER,CBFEDFER,CBFEDFER
E044,E044,E044,E044,E044,E044
E129,E129,E129,E129,E129,E129
XETC,XETC,XETC,XETC,XETC,XETC
XESC,XESC,XESC,XESC,XESC,XESC
XMEM,XMEM,XMEM,XMEM,XMEM,XMEM
XD5E,XD5E,XD5E,XD5E,XD5E,XD5E
XESX,XESX,XESX,XESX,XESX,XESX
XJSE,XJSE,XJSE,XJSE,XJSE,XJSE
XD3E,XD3E,XD3E,XD3E,XD3E,XD3E
XGLE,XGLE,XGLE,XGLE,XGLE,XGLE
DBPE,DBPE,DBPE,DBPE,DBPE,DBPE
XWEH,XWEH,XWEH,XWEH,XWEH,XWEH
XLPE,XLPE,XLPE,XLPE,XLPE,XLPE
X13E,X13E,X13E,X13E,X13E,X13E
X57E,X57E,X57E,X57E,X57E,X57E
XDPE,XDPE,XDPE,XDPE,XDPE,XDPE
XDEQ,XDEQ,XDEQ,XDEQ,XDEQ,XDEQ
XDGE,XDGE,XDGE,XDGE,XDGE,XDGE
XDEB,XDEB,XDEB,XDEB,XDEB,XDEB
XDEP,XDEP,XDEP,XDEP,XDEP,XDEP
XMEU,XMEU,XMEU,XMEU,XMEU,XMEU
